,id,name,mmi,location,distance,station,longitude,latitude,pga_h,pga_v,pgv_h,pgv_v
21,nz_cstc_20,Cust School,2,20,168.24,CSTC,172.381334,-43.312291,0.2539484012,0.1269331873,0.0925130444,0.0372296922
22,nz_culc_20,Culverden Airlie Farm,3,20,105.13,CULC,172.802602,-42.759438,0.4506986086,0.2828799209,0.2349255474,0.1200134506
23,nz_cvz_20,Cave,2,20,316.57,CVZ,171.00616,-44.38318,0.0892409545,0.0446264932,0.0460269243,0.0150683516
24,nz_dals_20,Dallington,3,20,188.3,DALS,172.67323,-43.51198,0.4466632068,0.1205622747,0.2094572427,0.035868506
25,nz_davs_20,Collett Street,3,20,199.18,DAVS,174.95436,-41.205787,0.3774373692,0.1490269858,0.1481540992,0.0446673788
26,nz_dfhs_20,Darfield High School,2,20,192.24,DFHS,172.10216,-43.489675,0.1542455547,0.0823915719,0.0631743564,0.0358353259
27,nz_dhss_20,Diamond Harbour School,3,20,201.4,DHSS,172.72725,-43.63026,0.4636744003,0.2151801835,0.1156218707,0.0547921253
28,nz_dslc_20,Dunsandel School,3,20,209.66,DSLC,172.19792,-43.667499,0.2793679635,0.0955912712,0.160695959,0.0266396335
29,nz_dsz_21,Denniston North,3,21,75.1,DSZ,171.80463,-41.744926,0.5506367958,0.3165552744,0.2412808912,0.0752749585
30,nz_duwz_20,D'Urville Island,3,20,151.43,DUWZ,173.921645,-40.801715,0.3791802389,0.1888758207,0.1860377844,0.1157114858
31,nz_eaz_20,Earnscleugh,1,20,467.62,EAZ,169.308253,-45.231053,0.0161715694,0.0070649842,0.0063824159,0.0027715507
32,nz_ekts_20,Eketahuna School,2,20,282.54,EKTS,175.708828,-40.649495,0.1548874241,0.0653451939,0.0947456376,0.0510877061
33,nz_fahs_20,Feilding Agricultural High School,2,20,299.05,FAHS,175.573048,-40.213536,0.1321577859,0.1036627549,0.0860293046,0.0334389514
34,nz_fais_20,Fairfield,2,20,198.0,FAIS,174.9401,-41.2074,0.1267898164,0.1431632478,0.0598340166,0.0279763624
35,nz_fdcs_21,Fairlie District Council Garage,2,21,295.99,FDCS,170.82866,-44.100117,0.1503776879,0.0706106582,0.0536876109,0.0401875913
36,nz_fgps_20,Fox Glacier Park Board Headquarters,2,20,285.92,FGPS,170.019803,-43.463208,0.0979043625,0.1625841609,0.0513764911,0.0334141573
37,nz_fjds_20,Franz Josef DOC,2,20,270.43,FJDS,170.184235,-43.389137,0.0631135593,0.0408348735,0.0449081312,0.0252438995
38,nz_foz_21,Fox Glacier,1,21,303.55,FOZ,169.81575,-43.53171,0.0092709467,0.0055446696,0.0037175385,0.0016446764
39,nz_ftps_20,Featherston Primary School,2,20,231.84,FTPS,175.327442,-41.118705,0.0677139371,0.0633565721,0.0440052973,0.0286623501
40,nz_fxbs_20,Foxton Beach School,3,20,259.04,FXBS,175.226033,-40.46136,0.3743501831,0.1194297549,0.2107446391,0.045678847
41,nz_gdlc_20,Greendale,2,20,202.87,GDLC,172.088753,-43.586183,0.1429392395,0.1106320405,0.0585086805,0.0216987099
42,nz_glos_20,Glen Orkney Strong Motion,4,20,92.72,GLOS,173.821829,-41.857286,1.4856108793,0.2575342064,0.868293183,0.1283849428
43,nz_glws_21,Glynn Wye,4,21,88.1,GLWS,172.510542,-42.595348,0.6668430194,0.4175970079,0.435299804,0.2172606548
44,nz_gmfs_20,Greymouth Fire Station,3,20,142.94,GMFS,171.2043,-42.457849,0.9629258615,0.369122921,0.2400597502,0.0716055209
45,nz_gods_21,Godley Drive,2,21,195.71,GODS,172.76926,-43.5784,0.1324990966,0.0904228564,0.0639654936,0.0391718119
46,nz_govs_20,Living Springs Camp Governors Bay,3,20,203.93,GOVS,172.635725,-43.652421,0.8069973867,0.5308742006,0.2088901456,0.1063835949
47,nz_gvz_20,Greta Valley,3,20,130.72,GVZ,173.03475,-42.967365,0.494412099,0.1082966999,0.2236336162,0.0594378623
48,nz_hafs_20,Harihari Fire Station,3,20,230.23,HAFS,170.556061,-43.148912,0.1489685264,0.0744513815,0.1105670934,0.0421300651
49,nz_hals_21,Halswell School,2,21,197.34,HALS,172.569503,-43.59088,0.1742991398,0.0301056733,0.0919030252,0.0158063647
50,nz_havs_20,Havelock,3,20,108.13,HAVS,173.78467,-41.27227,0.8561429827,0.5313995694,0.1875828059,0.1100680413
51,nz_hdws_20,Haast DOC Workshop,2,20,376.58,HDWS,169.044148,-43.883006,0.1443657571,0.1309665025,0.0632977278,0.0250244898
52,nz_hibs_20,Hutt International Boys School,2,20,208.19,HIBS,175.0359,-41.1399,0.0749134237,0.0824072736,0.0643761688,0.0331398519
53,nz_hiz_20,Hauiti,2,20,408.94,HIZ,174.855686,-38.512929,0.0510713364,0.034707433,0.0290132597,0.0195151143
54,nz_hmcs_20,Hokitika Medical Centre,2,20,174.86,HMCS,170.963959,-42.716922,0.3174310131,0.1004787805,0.1032200969,0.0319131057
55,nz_hocs_20,Levin Horowhenua College,2,20,252.76,HOCS,175.279423,-40.621644,0.1671467206,0.1182653674,0.093676425,0.0796648259
56,nz_horc_20,Hororata School,2,20,200.82,HORC,171.959908,-43.539636,0.1417462247,0.0916624523,0.0877286863,0.0257530504
57,nz_hses_20,Hanmer Springs Emergency Centre,4,20,79.31,HSES,172.830494,-42.523242,1.0561342691,0.5294741198,0.5194719517,0.2809141685
58,nz_hsss_20,Lower Hutt Haywards Substation,2,20,203.46,HSSS,174.981477,-41.151935,0.0748602873,0.0787460791,0.0384669434,0.0269022967
59,nz_huks_20,Huiakama School,3,20,323.87,HUKS,174.5681,-39.26051,0.3319709215,0.2054716119,0.2674454237,0.1150355756
60,nz_huns_20,Huntsbury,2,20,195.79,HUNS,172.65723,-43.57937,0.2057616533,0.1154868062,0.0584228081,0.0365609115
61,nz_hvsc_20,Heathcote Valley Primary School,3,20,195.8,HVSC,172.709423,-43.579787,0.4291936849,0.1928199187,0.1324924542,0.0559549157
62,nz_ifps_20,Inchbonnie Fitzsimmons,3,20,143.3,IFPS,171.472835,-42.726744,0.3820203828,0.1523652738,0.1609430411,0.0641233528
63,nz_ings_20,Inangahua Fire Station,3,20,62.57,INGS,171.952546,-41.857124,0.495170551,0.2355084038,0.1248332593,0.0606476903
64,nz_inhs_21,Inglewood High School,2,21,320.28,INHS,174.19076,-39.15591,0.1197647699,0.0510100297,0.0932935241,0.0388328437
65,nz_inz_20,Inchbonnie,2,20,144.81,INZ,171.4441,-42.7245,0.162808723,0.0828629354,0.0781182829,0.0425474752
66,nz_jcz_21,Jackson Bay,1,21,405.78,JCZ,168.785476,-44.073145,0.0510090465,0.0396143076,0.0191223171,0.0123784695
67,nz_kars_20,Karamea School,3,20,79.5,KARS,172.116451,-41.24942,1.6110450227,0.5489195276,0.3696065821,0.1055698418
68,nz_keks_20,Kekerengu Valley Road,3,20,106.9,KEKS,173.98141,-41.95569,0.5743133928,0.1342988428,0.2908349576,0.0769853662
69,nz_khls_20,Kaihoka Lakes,3,20,139.55,KHLS,172.61189,-40.55704,0.6051122253,0.2084220225,0.2296805427,0.0821474233
70,nz_khz_20,Kahutara,2,20,95.88,KHZ,173.53897,-42.41598,0.0906519766,0.0772155925,0.0401796512,0.0288976497
71,nz_kiks_20,Kaikoura,2,20,105.38,KIKS,173.682125,-42.425812,0.1287035182,0.0652441807,0.0660009087,0.0363709751
72,nz_kirs_21,Kaitoke Kiwi Ranch,2,21,225.84,KIRS,175.229323,-41.076702,0.1487677136,0.1032288819,0.0757568146,0.0381635506
73,nz_klds_20,Kikiwa Line Depot,3,20,21.05,KLDS,172.874958,-41.673092,0.6724430852,0.5126625749,0.2205004003,0.1351664606
74,nz_koks_20,Kokatahi,3,20,175.88,KOKS,171.13564,-42.891687,0.2826837773,0.1711724483,0.1159560719,0.1233881448
75,nz_kpoc_20,Kaiapoi North School,4,20,173.28,KPOC,172.663768,-43.376463,0.5583216344,0.1200662392,0.1822945241,0.5902647401
76,nz_lhbs_20,Lower Hutt Normandale,3,20,194.69,LHBS,174.892316,-41.196646,0.3487524806,0.360876445,0.1290478603,0.1306312701
77,nz_lhes_20,Lower Hutt Emergency Management Office,3,20,194.95,LHES,174.903336,-41.211686,0.4454852583,0.1541283881,0.2507057651,0.0833396218
78,nz_lhrs_20,Lower Hutt Normandale Rock Site,2,20,194.43,LHRS,174.893186,-41.204736,0.2186340715,0.1734551248,0.0790493934,0.0930871357
79,nz_linc_20,Lincoln Crop and Food Research,2,20,201.54,LINC,172.468004,-43.623179,0.1575848173,0.1459139493,0.0794314336,0.0462445431
80,nz_lirs_20,Lower Hutt IRL,3,20,195.41,LIRS,174.91929,-41.23231,0.3080322694,0.1085202263,0.1251846703,0.0461090745
81,nz_loks_20,Mount Lookout,4,20,68.0,LOKS,173.48244,-42.01157,0.9100967102,0.4001422076,0.5362272649,0.2279326435
82,nz_lpds_20,Lyttelton Port,2,20,198.74,LPDS,172.709833,-43.606292,0.2573086882,0.0919748937,0.0534442408,0.0219675452
83,nz_lrsc_20,Lauriston,2,20,225.06,LRSC,171.793634,-43.72939,0.104018548,0.074770094,0.0587311825,0.0257378438
84,nz_lrss_20,Randwick School,3,20,194.34,LRSS,174.904246,-41.22943,0.3114677333,0.116554897,0.179429151,0.0626123172
85,nz_lsrc_20,Lake Sumner Road,3,20,117.78,LSRC,172.543288,-42.86952,0.2856410281,0.1118782379,0.3070019381,0.1060926955
86,nz_ltz_21,Lake Taylor Station,3,21,113.08,LTZ,172.271012,-42.781656,0.2434467196,0.0817952027,0.1345986273,0.054999139
87,nz_mats_20,Matariki Wadsworth Road,4,20,42.69,MATS,172.7037,-41.42895,2.3054800122,0.977284253,0.9306337281,0.3798625967
88,nz_mavs_20,Martinborough Wines Vineyard,2,20,239.2,MAVS,175.461483,-41.210858,0.1259553249,0.1422513399,0.0800494299,0.0613650661
89,nz_mayc_20,Mayfield School,2,20,246.17,MAYC,171.421709,-43.823061,0.0904180038,0.0646773376,0.0459827934,0.0198296493
